sample,condition,timepoint,replicate,file1,file2
K562_CEL_NHS_rep1,no_treatment,0,1,SRR5364303,
K562_CEL_NHS_rep2,no_treatment,0,2,SRR5364304,
K562_CEL_10min_rep1,celastrol,10,1,SRR5364305,
K562_CEL_10min_rep2,celastrol,10,2,SRR5364306,
K562_CEL_20min_rep1,celastrol,20,1,SRR5364307,
K562_CEL_20min_rep2,celastrol,20,2,SRR5364308,
K562_CEL_40min_rep1,celastrol,40,1,SRR5364309,
K562_CEL_40min_rep2,celastrol,40,2,SRR5364310,
K562_CEL_60min_rep1,celastrol,60,1,SRR5364311,
K562_CEL_60min_rep2,celastrol,60,2,SRR5364312,
K562_CEL_160min_rep1,celastrol,160,1,SRR5364313,
K562_CEL_160min_rep2,celastrol,160,2,SRR5364314,
